Date,Close
2016-01-13,65
2016-02-13,64
2016-03-13,62
2016-04-13,59
2016-05-13,80
2016-06-13,55
2016-07-13,76
2016-08-13,73
2016-09-13,53
2016-10-13,59
2016-11-13,61
2016-12-13,55
2016-01-14,68
2016-02-14,68
2016-03-14,57
2016-04-14,50
2016-05-14,71
2016-06-14,56
2016-07-14,77
2016-08-14,71
2016-09-14,57
2016-10-14,65
2016-11-14,59
2016-12-14,62
2016-01-15,89
2016-02-15,67
2016-03-15,74
2016-04-15,71
2016-05-15,56
2016-06-15,75
2016-07-15,71
2016-08-15,73
2016-09-15,74
2016-10-15,75
2016-11-15,64
2016-12-15,60
2016-01-16,67
2016-02-16,66
2016-03-16,62
2016-04-16,75
2016-05-16,44
2016-06-16,76
2016-07-16,58
2016-08-16,64
2016-09-16,90
2016-10-16,75
2016-11-16,64
2016-12-16,67
2016-01-17,72
2016-02-17,74
2016-03-17,54
2016-04-17,65
2016-05-17,64
2016-06-17,72
2016-07-17,63
2016-08-17,65
2016-09-17,64
2016-10-17,63
2016-11-17,58
2016-12-17,55
2016-01-18,51
2016-02-18,90
2016-03-18,68
2016-04-18,63
2016-05-18,75
2016-06-18,72
2016-07-18,64
2016-08-18,69
2016-09-18,63
2016-10-18,68
2016-11-18,57
2016-12-18,58
2016-01-19,60
2016-02-19,73
2016-03-19,67
2016-04-19,57
2016-05-19,66
2016-06-19,69
2016-07-19,61
2016-08-19,68
2016-09-19,58
2016-10-19,63
2016-11-19,57
2016-12-19,61
2016-01-20,72
2016-02-20,61
2016-03-20,58
2016-04-20,80
2016-05-20,71
2016-06-20,54
2016-07-20,54
2016-08-20,66
2016-09-20,60
2016-10-20,72
2016-11-20,53
2016-12-20,74
2016-01-21,75
2016-02-21,72
2016-03-21,61
2016-04-21,69
2016-05-21,85
2016-06-21,60
2016-07-21,58
2016-08-21,56
2016-09-21,65
2016-10-21,70
2016-11-21,50
2016-12-21,75
2016-01-22,75
2016-02-22,67
2016-03-22,55
2016-04-22,63
2016-05-22,69
2016-06-22,72
2016-07-22,76
2016-08-22,71
2016-09-22,63
